date,coronavirus,covid,cuarentena,department
2020-02-01,0,0,0,amazonas
2020-02-01,9,0,0,caldas
2020-02-01,7,0,0,meta
2020-02-01,8,0,0,casanare
2020-02-01,0,0,0,arauca
2020-02-01,8,0,0,valle del cauca
2020-02-01,7,0,0,santander
2020-02-01,11,0,0,cesar
2020-02-01,12,0,0,la guajira
2020-02-01,6,0,0,bolivar
2020-02-01,7,0,0,huila
2020-02-01,8,0,0,choco
2020-02-01,6,0,0,tolima
2020-02-01,8,0,0,putumayo
2020-02-01,11,0,0,caqueta
2020-02-01,4,0,0,narino
2020-02-01,10,0,0,atlantico
2020-02-01,7,0,0,cundinamarca
2020-02-01,7,0,0,antioquia
2020-02-01,7,0,0,bogota
2020-02-01,10,0,0,sucre
2020-02-01,0,0,0,vaupes
2020-02-01,8,0,0,boyaca
2020-02-01,0,0,0,san andres y providencia
2020-02-01,6,0,2,cauca
2020-02-01,7,0,0,cordoba
2020-02-01,10,0,0,magdalena
2020-02-02,8,0,0,boyaca
2020-02-02,8,0,0,caldas
2020-02-02,14,0,0,san andres y providencia
2020-02-02,5,0,0,valle del cauca
2020-02-02,6,0,0,santander
2020-02-02,5,0,0,narino
2020-02-02,8,0,0,antioquia
2020-02-02,7,0,1,bolivar
2020-02-02,10,0,0,huila
2020-02-02,5,0,2,cordoba
2020-02-02,0,0,0,vaupes
2020-02-02,0,0,0,choco
2020-02-02,8,0,0,caqueta
2020-02-02,7,0,0,cundinamarca
2020-02-02,9,0,0,putumayo
2020-02-02,20,0,0,arauca
2020-02-02,4,0,0,sucre
2020-02-02,5,0,0,la guajira
2020-02-02,7,0,0,cesar
2020-02-02,8,0,0,cauca
2020-02-02,5,0,0,tolima
2020-02-02,7,0,0,bogota
2020-02-02,6,0,1,atlantico
2020-02-02,5,0,0,casanare
2020-02-02,6,0,0,meta
2020-02-02,0,0,0,amazonas
2020-02-02,9,0,0,magdalena
2020-02-03,0,0,0,vaupes
2020-02-03,3,0,1,narino
2020-02-03,4,0,0,atlantico
2020-02-03,5,0,0,antioquia
2020-02-03,6,0,0,caqueta
2020-02-03,3,0,0,cordoba
2020-02-03,13,0,0,choco
2020-02-03,4,0,0,bogota
2020-02-03,3,0,0,tolima
2020-02-03,4,0,0,magdalena
2020-02-03,3,0,0,sucre
2020-02-03,0,0,0,arauca
2020-02-03,4,0,0,cundinamarca
2020-02-03,6,0,0,putumayo
2020-02-03,7,0,0,meta
2020-02-03,6,0,0,caldas
2020-02-03,4,0,0,boyaca
2020-02-03,5,0,0,casanare
2020-02-03,0,0,0,amazonas
2020-02-03,6,0,0,huila
2020-02-03,6,0,0,cauca
2020-02-03,0,0,0,san andres y providencia
2020-02-03,4,0,0,santander
2020-02-03,3,0,0,cesar
2020-02-03,5,0,0,la guajira
2020-02-03,2,0,0,bolivar
2020-02-03,4,0,0,valle del cauca
2020-02-04,0,0,0,vaupes
2020-02-04,5,0,0,sucre
2020-02-04,5,0,0,magdalena
2020-02-04,11,0,0,san andres y providencia
2020-02-04,6,0,0,caqueta
2020-02-04,3,0,0,narino
2020-02-04,5,0,0,atlantico
2020-02-04,0,0,0,arauca
2020-02-04,6,0,0,choco
2020-02-04,3,0,0,tolima
2020-02-04,3,0,0,bogota
2020-02-04,7,0,0,la guajira
2020-02-04,4,0,0,huila
2020-02-04,5,0,0,bolivar
2020-02-04,3,0,0,santander
2020-02-04,5,0,0,valle del cauca
2020-02-04,5,0,0,cesar
2020-02-04,4,0,0,casanare
2020-02-04,5,0,0,meta
2020-02-04,4,0,0,antioquia
2020-02-04,4,0,0,boyaca
2020-02-04,4,0,0,cauca
2020-02-04,0,0,0,amazonas
2020-02-04,6,0,0,putumayo
2020-02-04,3,0,0,cundinamarca
2020-02-04,5,0,0,caldas
2020-02-04,2,0,0,cordoba
2020-02-05,6,0,0,caqueta
2020-02-05,6,0,0,boyaca
2020-02-05,2,0,0,meta
2020-02-05,4,0,0,narino
2020-02-05,3,0,0,tolima
2020-02-05,5,0,0,bogota
2020-02-05,4,0,0,antioquia
2020-02-05,4,0,0,casanare
2020-02-05,5,0,0,cundinamarca
2020-02-05,3,0,0,santander
2020-02-05,2,0,0,cordoba
2020-02-05,7,0,0,putumayo
2020-02-05,3,0,0,caldas
2020-02-05,3,0,0,bolivar
2020-02-05,0,0,0,arauca
2020-02-05,0,0,0,san andres y providencia
2020-02-05,0,0,0,vaupes
2020-02-05,5,0,0,magdalena
2020-02-05,4,0,0,atlantico
2020-02-05,5,0,0,cesar
2020-02-05,3,0,0,la guajira
2020-02-05,3,0,0,valle del cauca
2020-02-05,0,0,0,amazonas
2020-02-05,4,0,0,sucre
2020-02-05,4,0,0,cauca
2020-02-05,9,0,0,huila
2020-02-05,0,0,0,choco
2020-02-06,0,0,0,san andres y providencia
2020-02-06,5,0,0,valle del cauca
2020-02-06,6,0,0,caqueta
2020-02-06,6,0,0,meta
2020-02-06,3,0,0,tolima
2020-02-06,4,0,0,caldas
2020-02-06,8,0,0,sucre
2020-02-06,3,0,0,cordoba
2020-02-06,0,0,0,vaupes
2020-02-06,3,0,0,atlantico
2020-02-06,4,0,0,bogota
2020-02-06,3,0,0,huila
2020-02-06,5,0,0,magdalena
2020-02-06,4,0,0,cauca
2020-02-06,8,0,0,la guajira
2020-02-06,6,0,0,choco
2020-02-06,7,0,1,bolivar
2020-02-06,14,0,0,amazonas
2020-02-06,0,0,0,arauca
2020-02-06,4,0,0,cundinamarca
2020-02-06,4,0,0,boyaca
2020-02-06,0,0,0,putumayo
2020-02-06,3,0,0,santander
2020-02-06,8,0,0,casanare
2020-02-06,2,0,0,narino
2020-02-06,2,0,0,cesar
2020-02-06,4,0,0,antioquia
2020-02-07,5,0,0,antioquia
2020-02-07,0,0,0,vaupes
2020-02-07,5,0,0,meta
2020-02-07,15,0,0,caqueta
2020-02-07,8,0,0,la guajira
2020-02-07,4,0,0,cordoba
2020-02-07,3,0,0,bogota
2020-02-07,5,0,0,caldas
2020-02-07,6,0,0,cauca
2020-02-07,0,0,0,putumayo
2020-02-07,9,0,0,choco
2020-02-07,0,0,0,amazonas
2020-02-07,3,0,0,huila
2020-02-07,3,0,0,magdalena
2020-02-07,5,0,0,narino
