fecha,departamento,susceptibles,infectados,recuperados,decesos,cantidad_mayores_65,ipm,poblacion_total,personas_km2,edad_promedio,promedio_morbilidades,susceptibles_t_1,susceptibles_t_7,infectados_t_1,infectados_t_7,recuperados_1,recuperados_t_7,decesos_t_1,decesos_t_7
3/13/2020,antioquia,6690969,0,0,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690969,6690977,0,0,0,0,0,0
3/14/2020,antioquia,6690969,3,3,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690969,6690977,0,0,0,0,0,0
3/15/2020,antioquia,6690963,1,1,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690969,6690977,3,0,3,0,0,0
3/16/2020,antioquia,6690961,0,0,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690963,6690977,1,1,1,1,0,0
3/17/2020,antioquia,6690961,0,0,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690961,6690975,0,0,0,0,0,0
3/18/2020,antioquia,6690961,0,0,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690961,6690975,0,3,0,3,0,0
3/19/2020,antioquia,6690961,3,3,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690961,6690969,0,0,0,0,0,0
3/20/2020,antioquia,6690955,11,11,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690961,6690969,3,0,3,0,0,0
3/21/2020,antioquia,6690933,3,3,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690955,6690969,11,3,11,3,0,0
3/22/2020,antioquia,6690927,5,5,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690933,6690963,3,1,3,1,0,0
3/23/2020,antioquia,6690917,22,22,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690927,6690961,5,0,5,0,0,0
3/24/2020,antioquia,6690873,0,0,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690917,6690961,22,0,22,0,0,0
3/25/2020,antioquia,6690873,8,8,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690873,6690961,0,0,0,0,0,0
3/26/2020,antioquia,6690857,0,0,0,576614,37.5864,6690977,105.184,34.628,779755.3333,6690873,6690961,8,3,8,3,0,0
