fecha,departamento,susceptibles,infectados,recuperados,decesos,cantidad_mayores_65,ipm,poblacion_total,personas_km2,edad_promedio,promedio_morbilidades,susceptibles_t_1,susceptibles_t_7,infectados_t_1,infectados_t_7,recuperados_1,recuperados_t_7,decesos_t_1,decesos_t_7
3/13/2020,atlantico,2546138,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546138,2546138,0,0,0,0,0,0
3/14/2020,atlantico,2546138,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546138,2546138,0,0,0,0,0,0
3/15/2020,atlantico,2546138,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546138,2546138,0,0,0,0,0,0
3/16/2020,atlantico,2546138,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546138,2546138,0,0,0,0,0,0
3/17/2020,atlantico,2546134,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546138,2546138,2,0,2,0,0,0
3/18/2020,atlantico,2546134,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546134,2546138,0,0,0,0,0,0
3/19/2020,atlantico,2546134,3,3,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546134,2546138,0,0,0,0,0,0
3/20/2020,atlantico,2546128,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546134,2546138,3,0,3,0,0,0
3/21/2020,atlantico,2546128,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546128,2546138,0,0,0,0,0,0
3/22/2020,atlantico,2546124,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546128,2546138,2,0,2,0,0,0
3/23/2020,atlantico,2546124,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546124,2546138,0,2,0,2,0,0
3/24/2020,atlantico,2546124,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546124,2546134,0,0,0,0,0,0
3/25/2020,atlantico,2546120,4,4,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546124,2546134,2,0,2,0,0,0
3/26/2020,atlantico,2546112,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546120,2546134,4,3,4,3,0,0
3/27/2020,atlantico,2546112,3,1,2,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546112,2546128,0,0,0,0,0,0
3/28/2020,atlantico,2546106,4,4,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546112,2546128,3,2,1,2,2,0
3/29/2020,atlantico,2546098,4,4,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546106,2546124,4,0,4,0,0,0
3/30/2020,atlantico,2546090,1,1,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546098,2546124,4,0,4,0,0,0
3/31/2020,atlantico,2546088,8,7,1,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546090,2546124,1,2,1,2,0,0
4/1/2020,atlantico,2546072,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546088,2546120,8,4,7,4,1,0
4/2/2020,atlantico,2546068,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546072,2546112,2,0,2,0,0,0
4/3/2020,atlantico,2546068,12,12,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546068,2546112,0,3,0,1,0,2
4/4/2020,atlantico,2546044,0,0,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546068,2546106,12,4,12,4,0,0
4/5/2020,atlantico,2546044,4,3,1,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546044,2546098,0,4,0,4,0,0
4/6/2020,atlantico,2546036,1,1,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546044,2546090,4,1,3,1,1,0
4/7/2020,atlantico,2546034,8,8,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546036,2546088,1,8,1,7,0,1
4/8/2020,atlantico,2546018,7,7,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546034,2546072,8,2,8,2,0,0
4/9/2020,atlantico,2546004,6,6,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546018,2546068,7,0,7,0,0,0
4/10/2020,atlantico,2545992,6,6,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2546004,2546068,6,12,6,12,0,0
4/11/2020,atlantico,2545980,5,5,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545992,2546044,6,0,6,0,0,0
4/12/2020,atlantico,2545970,5,4,1,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545980,2546044,5,4,5,3,0,1
4/13/2020,atlantico,2545960,3,3,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545970,2546036,5,1,4,1,1,0
4/14/2020,atlantico,2545954,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545960,2546034,3,8,3,8,0,0
4/15/2020,atlantico,2545950,1,1,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545954,2546018,2,7,2,7,0,0
4/16/2020,atlantico,2545948,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545950,2546004,1,6,1,6,0,0
4/17/2020,atlantico,2545944,3,3,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545948,2545992,2,6,2,6,0,0
4/18/2020,atlantico,2545938,6,6,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545944,2545980,3,5,3,5,0,0
4/19/2020,atlantico,2545926,2,2,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545938,2545970,6,5,6,4,0,1
4/20/2020,atlantico,2545922,3,3,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545926,2545960,2,3,2,3,0,0
4/21/2020,atlantico,2545916,4,2,2,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545922,2545954,3,2,3,2,0,0
4/22/2020,atlantico,2545908,3,3,0,196909,37.32608696,2546138,751.517,32.435,306515.9167,2545916,2545950,4,1,2,1,2,0
