fecha,departamento,susceptibles,infectados,recuperados,decesos,cantidad_mayores_65,ipm,poblacion_total,personas_km2,edad_promedio,promedio_morbilidades,susceptibles_t_1,susceptibles_t_7,infectados_t_1,infectados_t_7,recuperados_1,recuperados_t_7,decesos_t_1,decesos_t_7
3/13/2020,bogota,8181037,1,1,0,632389,9,8181047,5155.039,34.469,659978.25,8181041,8181047,2,1,2,1,0,0
3/14/2020,bogota,8181035,10,10,0,632389,9,8181047,5155.039,34.469,659978.25,8181037,8181045,1,0,1,0,0,0
3/15/2020,bogota,8181015,10,10,0,632389,9,8181047,5155.039,34.469,659978.25,8181035,8181045,10,0,10,0,0,0
3/16/2020,bogota,8180995,6,6,0,632389,9,8181047,5155.039,34.469,659978.25,8181015,8181045,10,0,10,0,0,0
3/17/2020,bogota,8180983,7,7,0,632389,9,8181047,5155.039,34.469,659978.25,8180995,8181045,6,0,6,0,0,0
3/18/2020,bogota,8180969,5,5,0,632389,9,8181047,5155.039,34.469,659978.25,8180983,8181045,7,2,7,2,0,0
3/19/2020,bogota,8180959,8,8,0,632389,9,8181047,5155.039,34.469,659978.25,8180969,8181041,5,2,5,2,0,0
3/20/2020,bogota,8180943,27,25,2,632389,9,8181047,5155.039,34.469,659978.25,8180959,8181037,8,1,8,1,0,0
3/21/2020,bogota,8180889,5,5,0,632389,9,8181047,5155.039,34.469,659978.25,8180943,8181035,27,10,25,10,2,0
3/22/2020,bogota,8180879,4,3,1,632389,9,8181047,5155.039,34.469,659978.25,8180889,8181015,5,10,5,10,0,0
3/23/2020,bogota,8180871,29,27,2,632389,9,8181047,5155.039,34.469,659978.25,8180879,8180995,4,6,3,6,1,0
3/24/2020,bogota,8180813,41,39,2,632389,9,8181047,5155.039,34.469,659978.25,8180871,8180983,29,7,27,7,2,0
3/25/2020,bogota,8180731,14,14,0,632389,9,8181047,5155.039,34.469,659978.25,8180813,8180969,41,5,39,5,2,0
3/26/2020,bogota,8180703,7,6,1,632389,9,8181047,5155.039,34.469,659978.25,8180731,8180959,14,8,14,8,0,0
3/27/2020,bogota,8180689,38,36,2,632389,9,8181047,5155.039,34.469,659978.25,8180703,8180943,7,27,6,25,1,2
3/28/2020,bogota,8180613,38,35,3,632389,9,8181047,5155.039,34.469,659978.25,8180689,8180889,38,5,36,5,2,0
3/29/2020,bogota,8180537,33,33,0,632389,9,8181047,5155.039,34.469,659978.25,8180613,8180879,38,4,35,3,3,1
3/30/2020,bogota,8180471,55,52,3,632389,9,8181047,5155.039,34.469,659978.25,8180537,8180871,33,29,33,27,0,2
3/31/2020,bogota,8180361,40,37,3,632389,9,8181047,5155.039,34.469,659978.25,8180471,8180813,55,41,52,39,3,2
4/1/2020,bogota,8180281,81,71,10,632389,9,8181047,5155.039,34.469,659978.25,8180361,8180731,40,14,37,14,3,0
4/2/2020,bogota,8180119,68,64,4,632389,9,8181047,5155.039,34.469,659978.25,8180281,8180703,81,7,71,6,10,1
4/3/2020,bogota,8179983,44,40,4,632389,9,8181047,5155.039,34.469,659978.25,8180119,8180689,68,38,64,36,4,2
4/4/2020,bogota,8179895,104,96,8,632389,9,8181047,5155.039,34.469,659978.25,8179983,8180613,44,38,40,35,4,3
4/5/2020,bogota,8179687,30,25,5,632389,9,8181047,5155.039,34.469,659978.25,8179895,8180537,104,33,96,33,8,0
4/6/2020,bogota,8179627,51,48,3,632389,9,8181047,5155.039,34.469,659978.25,8179687,8180471,30,55,25,52,5,3
4/7/2020,bogota,8179525,84,80,4,632389,9,8181047,5155.039,34.469,659978.25,8179627,8180361,51,40,48,37,3,3
4/8/2020,bogota,8179357,130,122,8,632389,9,8181047,5155.039,34.469,659978.25,8179525,8180281,84,81,80,71,4,10
4/9/2020,bogota,8179097,36,33,3,632389,9,8181047,5155.039,34.469,659978.25,8179357,8180119,130,68,122,64,8,4
4/10/2020,bogota,8179025,88,86,3,632389,9,8181047,5155.039,34.469,659978.25,8179097,8179983,36,44,33,40,3,4
4/11/2020,bogota,8178848,44,40,4,632389,9,8181047,5155.039,34.469,659978.25,8179025,8179895,88,104,86,96,3,8
4/12/2020,bogota,8178760,19,16,3,632389,9,8181047,5155.039,34.469,659978.25,8178848,8179687,44,30,40,25,4,5
4/13/2020,bogota,8178722,24,21,1,632389,9,8181047,5155.039,34.469,659978.25,8178760,8179627,19,51,16,48,3,3
4/14/2020,bogota,8178676,36,33,3,632389,9,8181047,5155.039,34.469,659978.25,8178722,8179525,24,84,21,80,1,4
4/15/2020,bogota,8178604,48,40,7,632389,9,8181047,5155.039,34.469,659978.25,8178676,8179357,36,130,33,122,3,8
4/16/2020,bogota,8178509,43,42,1,632389,9,8181047,5155.039,34.469,659978.25,8178604,8179097,48,36,40,33,7,3
4/17/2020,bogota,8178423,59,59,0,632389,9,8181047,5155.039,34.469,659978.25,8178509,8179025,43,88,42,86,1,3
4/18/2020,bogota,8178305,86,83,2,632389,9,8181047,5155.039,34.469,659978.25,8178423,8178848,59,44,59,40,0,4
4/19/2020,bogota,8178134,119,118,1,632389,9,8181047,5155.039,34.469,659978.25,8178305,8178760,86,19,83,16,2,3
4/20/2020,bogota,8177896,79,76,2,632389,9,8181047,5155.039,34.469,659978.25,8178134,8178722,119,24,118,21,1,1
4/21/2020,bogota,8177739,74,73,1,632389,9,8181047,5155.039,34.469,659978.25,8177896,8178676,79,36,76,33,2,3
4/22/2020,bogota,8177591,84,84,0,632389,9,8181047,5155.039,34.469,659978.25,8177739,8178604,74,48,73,40,1,7
4/23/2020,bogota,8177423,47,41,5,632389,9,8181047,5155.039,34.469,659978.25,8177591,8178509,84,43,84,42,0,1
4/24/2020,bogota,8177330,179,161,6,632389,9,8181047,5155.039,34.469,659978.25,8177423,8178423,47,59,41,59,5,0
4/25/2020,bogota,8176984,89,85,3,632389,9,8181047,5155.039,34.469,659978.25,8177330,8178305,179,86,161,83,6,2
4/26/2020,bogota,8176807,92,87,3,632389,9,8181047,5155.039,34.469,659978.25,8176984,8178134,89,119,85,118,3,1
4/27/2020,bogota,8176625,105,100,3,632389,9,8181047,5155.039,34.469,659978.25,8176807,8177896,92,79,87,76,3,2
4/28/2020,bogota,8176417,64,61,4,632389,9,8181047,5155.039,34.469,659978.25,8176625,8177739,105,74,100,73,3,1
4/29/2020,bogota,8176288,133,122,6,632389,9,8181047,5155.039,34.469,659978.25,8176417,8177591,64,84,61,84,4,0
4/30/2020,bogota,8176027,89,84,4,632389,9,8181047,5155.039,34.469,659978.25,8176288,8177423,133,47,122,41,6,5
5/1/2020,bogota,8175850,147,133,8,632389,9,8181047,5155.039,34.469,659978.25,8176027,8177330,89,179,84,161,4,6
5/2/2020,bogota,8175562,71,68,2,632389,9,8181047,5155.039,34.469,659978.25,8175850,8176984,147,89,133,85,8,3
5/3/2020,bogota,8175421,112,107,4,632389,9,8181047,5155.039,34.469,659978.25,8175562,8176807,71,92,68,87,2,3
