fecha,departamento,susceptibles,infectados,recuperados,decesos,cantidad_mayores_65,ipm,poblacion_total,personas_km2,edad_promedio,promedio_morbilidades,susceptibles_t_1,susceptibles_t_2,susceptibles_t_3,susceptibles_t_4,susceptibles_t_5,susceptibles_t_6,susceptibles_t_7,infectados_t_1,infectados_t_2,infectados_t_3,infectados_t_4,infectados_t_5,infectados_t_6,infectados_t_7,recuperados_t_1,recuperados_t_2,recuperados_t_3,recuperados_t_4,recuperados_t_5,recuperados_t_6,recuperados_t_7,decesos_t_1,decesos_t_2,decesos_t_3,decesos_t_4,decesos_t_5,decesos_t_6,decesos_t_7
2020-03-13,bogota,8181037.0,1.0,1.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8181041.0,8181045.0,8181045.0,8181045.0,8181045.0,8181045.0,8181047.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,bogota,8181035.0,10.0,10.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8181037.0,8181041.0,8181045.0,8181045.0,8181045.0,8181045.0,8181045.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,bogota,8181015.0,10.0,10.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8181035.0,8181037.0,8181041.0,8181045.0,8181045.0,8181045.0,8181045.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,bogota,8180995.0,6.0,6.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8181015.0,8181035.0,8181037.0,8181041.0,8181045.0,8181045.0,8181045.0,10.0,10.0,1.0,2.0,2.0,0.0,0.0,10.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,bogota,8180983.0,7.0,7.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8180995.0,8181015.0,8181035.0,8181037.0,8181041.0,8181045.0,8181045.0,6.0,10.0,10.0,1.0,2.0,2.0,0.0,6.0,10.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,bogota,8180969.0,5.0,5.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8180983.0,8180995.0,8181015.0,8181035.0,8181037.0,8181041.0,8181045.0,7.0,6.0,10.0,10.0,1.0,2.0,2.0,7.0,6.0,10.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,bogota,8180959.0,8.0,8.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8180969.0,8180983.0,8180995.0,8181015.0,8181035.0,8181037.0,8181041.0,5.0,7.0,6.0,10.0,10.0,1.0,2.0,5.0,7.0,6.0,10.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,bogota,8180943.0,27.0,25.0,2.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8180959.0,8180969.0,8180983.0,8180995.0,8181015.0,8181035.0,8181037.0,8.0,5.0,7.0,6.0,10.0,10.0,1.0,8.0,5.0,7.0,6.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,bogota,8180889.0,5.0,5.0,0.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8180943.0,8180959.0,8180969.0,8180983.0,8180995.0,8181015.0,8181035.0,27.0,8.0,5.0,7.0,6.0,10.0,10.0,25.0,8.0,5.0,7.0,6.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,bogota,8180879.0,4.0,3.0,1.0,632389,9.0,8181047.0,5155.039000000001,34.469,659978.25,8180889.0,8180943.0,8180959.0,8180969.0,8180983.0,8180995.0,8181015.0,5.0,27.0,8.0,5.0,7.0,6.0,10.0,5.0,25.0,8.0,5.0,7.0,6.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
