departamento,susceptibles,infectados,recuperados,decesos,cantidad_mayores_65,ipm,poblacion_total,personas_km2,edad_promedio,promedio_morbilidades,"('Medida de pobreza multidimensional de fuente censal en el total del municipio', 'MPM')","('Medida de pobreza multidimensional de fuente censal en las cabeceras municipales', 'MPM_CAB')","('Medida de pobreza multidimensional de fuente censal en los centros poblados y el rural disperso', 'MPM_CPRD')","('Indicador de analfabetismo en el total del municipio', 'AFBMO_TOT')","('Indicador de analfabetismo en las cabeceras municipales', 'AFBMO_CAB')","('Indicador de analfabetismo en los centros poblados y el rural disperso', 'AFBMO_CPRD')","('Indicador de bajo logro educativo en el total del municipio', 'BLE_TOT')","('Indicador de bajo logro educativo en las cabeceras municipales', 'BLE_CAB')","('Indicador de bajo logro educativo en los centros poblados y el rural disperso', 'BLE_CPRD')","('Indicador de barreras a servicios para cuidado de la primera infancia en el total del municipio', 'BSCPI_TOT')","('Indicador de barreras a servicios para cuidado de la primera infancia en las cabeceras municipales', 'BSCPI_CAB')","('Indicador de barreras a servicios para cuidado de la primera infancia en los centros poblados y el rural disperso', 'BSCPI_CPRD')","('Indicador de barreras de acceso a servicios de salud en el total del municipio', 'BASS_TOT')","('Indicador de barreras de acceso a servicios de salud en las cabeceras municipales', 'BASS_CAB')","('Indicador de barreras de acceso a servicios de salud en los centros poblados y el rural disperso', 'BASS_CPRD')","('Indicador de tasa de dependencia económica en el total del municipio', 'TDE_TOT')","('Indicador de tasa de dependencia económica en las cabeceras municipales', 'TDE_CAB')","('Indicador de tasa de dependencia económica en los centros poblados y el rural disperso', 'TDE_CPRD')","('Indicador de hacinamiento crítico en el total del municipio', 'HC_TOT')","('Indicador de hacinamiento crítico en las cabeceras municipales', 'HC_CAB')","('Indicador de hacinamiento crítico en los centros poblados y el rural disperso', 'HC_CPRD')","('Indicador de inadecuada eliminación de excretas en el total del municipio', 'IEE_TOT')","('Indicador de inadecuada eliminación de excretas en las cabeceras municipales', 'IEE_CAB')","('Indicador de inadecuada eliminación de excretas en los centros poblados y el rural disperso', 'IEE_CPRD')","('Indicador de inasistencia escolar en el total del municipio', 'IE_TOT')","('Indicador de inasistencia escolar en las cabeceras municipales', 'IE_CAB')","('Indicador de inasistencia escolar en los centros poblados y el rural disperso', 'IE_CPRD')","('Indicador de material inadecuado de paredes exteriores en el total del municipio', 'MIPE_TOT')","('Indicador de material inadecuado de paredes exteriores en las cabeceras municipales', 'MIPE_CAB')","('Indicador de material inadecuado de paredes exteriores en los centros poblados y el rural disperso', 'MIPE_CPRD')","('Indicador de material inadecuado de pisos exteriores en el total del municipio', 'MIP_TOT')","('Indicador de material inadecuado de pisos exteriores en las cabeceras municipales', 'MIP_CAB')","('Indicador de material inadecuado de pisos exteriores en los centros poblados y el rural disperso', 'MIP_CPRD')","('Indicador de rezago escolar en el total del municipio', 'RE_TOT')","('Indicador de rezago escolar en las cabeceras municipales', 'RE_CAB')","('Indicador de rezago escolar en los centros poblados y el rural disperso', 'RE_CPRD')","('Indicador de sin acceso a fuente de agua mejorada en el total del municipio', 'SAFAM_TOT')","('Indicador de sin acceso a fuente de agua mejorada en las cabeceras municipales', 'SAFAM_CAB')","('Indicador de sin acceso a fuente de agua mejorada en los centros poblados y el rural disperso', 'SAFAM_CPRD')","('Indicador de sin aseguramiento en salud en el total del municipio', 'SAS_TOT')","('Indicador de sin aseguramiento en salud en las cabeceras municipales', 'SAS_CAB')","('Indicador de sin aseguramiento en salud en los centros poblados y el rural disperso', 'SAS_CPRD')","('Indicador de trabajo infantil en el total del municipio', 'TRINF_TOT')","('Indicador de trabajo infantil en las cabeceras municipales', 'TRINF_CAB')","('Indicador de trabajo infantil en los centros poblados y el rural disperso', 'TRINF_CPRD')","('Indicador de trabajo informal en el total del municipio', 'TRIML_TOT')","('Indicador de trabajo informal en las cabeceras municipales', 'TRIML_CAB')","('Indicador de trabajo informal en los centros poblados y el rural disperso', 'TRIML_CPRD')","('Cobertura de acueducto (Censo)', 'acueducto')","('Cobertura de Internet (Censo)', 'cobertura_internet')","('Número de personas desplazadas', 'desplazados')","('Tasa de homicidios (x cada 100.000 habitantes)', 'tasa_homicidios')","('Población en condición de miseria', 'miseria')","('Número de personas secuestradas', 'secuestros')",precipatacion,num_dias_lluvia,elevacion,temperatura_media,temperatura_max_media,temperatura_min_media,humedad_relativa,% DE PERSONAS EN EL DEPARTAMENTO,% DE HOMBRES EN EL DEPARTAMENTO,% DE MUJERES EN EL DEPARTAMENTO,% DE PERSONAS EN EL DEPARTAMENTO15_64,% DE HOMBRES EN EL DEPARTAMENTO15_64,% DE MUJERES EN EL DEPARTAMENTO15_64,% DE PERSONAS EN EL DEPARTAMENTO64_,% DE HOMBRES EN EL DEPARTAMENTO64_,% DE MUJERES EN EL DEPARTAMENTO64_
amazonas,73529.0,1.0,1.0,0.0,2791,81.69090909090909,78830.0,0.7190000000000001,25.42,2435.25,84.6,0.0,84.6,17.7,0.0,19.8,78.1,0.0,78.1,17.4,0.0,17.4,6.0,0.0,6.8,78.9,0.0,78.9,21.0,0.0,22.3,48.9,0.0,48.9,13.4,0.0,13.4,11.6,0.0,1.8,7.9,0.0,7.9,40.2,0.0,40.5,83.3,0.0,83.3,42.4,0.0,42.4,1.7,0.0,1.7,96.4,0.0,96.4,38.2,4.25,8.5,11.915,9.105,0.0,3533.121235417255,189.66659679188385,118.0,25.87666666666667,30.739030303030294,21.203333333333333,86.87808080808078,35.34,18.15,17.19,60.38,31.8,28.58,4.28,2.16,2.12
antioquia,6572804.0,1279.0,38.0,9.0,576614,37.586400000000026,6690977.0,105.184,34.628,779755.3333333335,36.9,25.1,51.1,17.0,12.0,21.8,70.9,56.4,83.3,1.6,1.3,2.0,3.4,3.3,3.6,33.7,33.0,33.6,6.1,6.9,5.4,22.3,3.9,41.0,4.6,2.9,6.6,0.8,0.6,0.6,2.5,0.3,4.1,19.9,16.3,23.9,20.8,1.5,40.9,13.0,13.7,12.3,2.1,1.1,2.9,84.4,80.0,88.6,76.57,15.58,10.5,37.71,1.83,0.008,2876.2073911468433,179.44286260024998,1130.3905325443784,21.959823275651612,27.057020894808847,17.00078375894449,83.38916434277488,19.72,10.09,9.62,70.53,34.01,36.52,9.76,4.19,5.56
arauca,269521.0,1.0,0.0,0.0,13880,44.45714285714285,270708.0,11.366,29.092,13375.583333333336,45.0,38.7,57.8,14.7,10.7,20.4,65.7,56.1,79.3,2.7,2.5,3.4,8.8,6.8,10.7,40.5,40.4,42.3,15.1,17.4,12.6,21.6,16.7,23.1,6.7,5.2,9.4,14.4,16.1,11.0,20.7,13.4,38.9,21.8,20.0,26.3,6.9,5.1,6.4,18.2,18.5,17.8,2.2,1.5,3.9,89.5,86.7,93.5,70.15,6.93,143.0,30.83,8.85,0.4285714285714285,2255.338422161618,120.93087779302587,247.0,26.16624609503557,31.373488884777778,21.01260710553814,82.2227319450072,28.25,14.45,13.8,65.9,33.07,32.83,5.85,3.03,2.82
atlantico,2426387.0,195.0,35.0,2.0,196909,37.326086956521735,2546138.0,751.5169999999998,32.435,306515.91666666674,36.0,32.7,54.4,17.8,14.7,31.0,52.4,46.8,73.1,2.6,2.4,3.0,2.8,2.3,2.1,42.9,43.6,43.5,17.9,18.4,13.6,29.5,29.3,22.0,5.7,5.4,7.3,2.7,2.5,2.3,4.6,3.9,10.7,17.6,17.4,20.5,8.9,5.8,27.4,17.8,17.7,17.4,0.7,0.7,1.1,87.6,87.4,90.0,87.7,8.760000000000002,0.0,7.98,3.63,0.0,1034.0549540570407,63.66692191544587,46.137931034482754,27.84479575865168,32.972622868463375,23.3738253968254,80.66591411860807,23.77,12.13,11.63,67.8,32.92,34.88,8.43,3.63,4.8
bogota,7874294.0,2235.0,22.0,19.0,632389,9.0,8181047.0,5155.039000000002,34.469,659978.25,9.0,8.9,31.5,2.8,2.8,10.0,26.2,26.1,62.5,1.8,1.7,3.0,4.3,4.3,6.0,18.9,18.9,35.0,5.6,5.6,5.5,0.7,0.7,11.8,1.9,1.9,3.2,0.3,0.3,2.3,0.3,0.3,3.5,11.5,11.5,16.8,0.5,0.5,16.8,18.7,18.7,18.5,0.5,0.5,1.5,69.1,69.1,84.4,99.48,,138.0,14.27,0.24,0.0,959.4281373678184,201.38890773592632,2830.9347826086955,13.066803321462181,18.172232825358197,6.221751640765199,83.49436474620201,18.57,9.48,9.1,72.56,34.7,37.86,8.86,3.63,5.23
bolivar,2128423.0,121.0,18.0,4.0,153654,57.18043478260871,2171558.0,83.59200000000001,31.107,242860.33333333328,58.95,53.40000000000001,65.94999999999999,24.8,20.2,31.0,69.19999999999999,60.7,79.80000000000003,2.5,2.0,3.1,6.300000000000002,4.5,7.3,47.65000000000001,48.0,47.2,21.05,24.35,14.8,63.15,95.05,40.8,5.55,4.300000000000002,6.75,6.550000000000002,7.05,4.25,27.5,16.85,44.0,23.2,19.85,25.5,27.25,9.0,39.35,15.9,15.15,15.35,1.3,0.9,1.75,92.8,91.3,94.45,65.88,4.12,9.0,9.455,14.705,0.1304347826086956,1998.7011560936294,98.86891325392344,61.525,27.37663408762934,32.19908088292734,21.750420289204254,80.73204897126432,26.91,13.82,13.09,65.03,32.08,32.95,8.06,3.72,4.34
boyaca,1277815.0,98.0,1.0,2.0,127596,38.12926829268293,1281979.0,55.284,34.708,122155.75,38.8,17.9,47.0,15.4,7.4,18.5,73.2,50.1,84.0,1.3,1.1,1.4,3.4,2.8,3.5,43.9,37.1,47.5,6.0,9.7,4.5,15.0,3.2,21.0,3.1,1.7,3.6,0.4,0.4,0.4,10.8,1.4,17.1,13.7,12.3,15.1,20.4,0.7,31.3,10.6,12.5,9.9,1.1,0.7,1.3,89.0,82.3,91.8,79.2,4.665,0.0,0.0,1.36,0.0,1542.4252072285628,172.08914521922364,2190.6095890410957,15.9749410261777,21.39535466628906,9.974485401311043,81.17070201364963,22.31,11.42,10.89,66.32,32.67,33.65,11.36,5.14,6.22
caldas,990643.0,96.0,3.0,0.0,113400,32.56296296296296,993870.0,125.998,36.835,110903.41666666669,33.3,21.9,44.1,15.9,11.6,20.6,71.8,58.8,85.8,1.5,1.2,1.9,3.9,3.7,4.3,30.0,29.4,30.7,4.6,5.7,3.6,13.0,2.3,23.3,3.8,2.2,5.3,4.6,3.0,3.3,1.6,0.5,3.2,15.2,12.7,19.4,18.9,1.1,41.6,14.8,15.5,13.8,1.8,1.0,2.7,84.2,81.1,87.2,78.93,15.29,4.0,17.91,1.45,0.0,2500.861941692826,182.9975537346767,1763.4358974358975,16.60674979273771,21.13296667243452,10.853929903180278,84.31289295697711,18.52,9.47,9.06,69.05,33.42,35.63,12.43,5.58,6.85
caqueta,488807.0,175.0,48.0,4.0,22905,51.83749999999999,496262.0,5.5779999999999985,29.244,42492.5,52.15,40.84999999999999,63.8,15.85,14.4,17.5,72.4,62.7,81.35,2.45,1.75,3.35,8.2,7.85,7.6,43.84999999999999,44.5,45.34999999999999,10.5,14.25,6.45,17.2,9.45,30.7,7.6,5.15,9.9,8.6,13.3,2.1,12.6,7.899999999999999,19.55,25.8,21.95,28.8,30.35,3.1,65.85,17.35,15.45,18.6,2.8,2.05,3.7,90.95,86.75,94.2,57.76,2.78,62.5,28.635,6.095,0.4375,3436.636029816328,192.89220993672458,253.0,25.619262371485966,30.82276253932465,20.63157435313165,83.86110887839476,28.74,14.74,14.0,64.83,32.69,32.14,6.43,3.28,3.15
casanare,373970.0,18.0,6.0,1.0,20724,37.97894736842106,375258.0,84.06299999999997,29.694000000000006,20172.0,37.0,25.3,46.2,11.4,8.1,15.1,62.3,51.2,77.2,2.3,1.9,3.0,5.7,4.6,3.4,43.4,42.9,45.5,11.1,12.7,10.2,7.8,3.5,14.6,4.3,2.4,8.1,4.6,3.3,5.9,11.0,3.0,24.0,17.6,14.9,20.6,14.9,1.5,27.7,16.1,15.5,16.6,1.3,1.0,1.7,83.2,80.5,86.4,72.28,8.844999999999997,7.0,14.36,4.17,0.1578947368421053,2666.1556642905944,133.70099609647738,357.4761904761905,26.23769020289475,31.190243303274123,20.904753550543024,78.2459908557626,26.61,13.66,12.95,67.89,34.13,33.76,5.5,2.76,2.74
